year,teams,ranking,website
1990
1991
1992
1993,13,1
1994,14,3
1995
1996,14,2
1997,20,4
1998,22,1
1999,21,1
2000,19,3
2001,,
2002,,
2003,17,3
2004,19,1
2005,20,2,http://www.apmo-official.org/static/results/apmo2005_res.pdf
2006,21,2,http://www.apmo-official.org/static/results/apmo2006_res.pdf
2007,22,1,http://www.apmo-official.org/static/results/apmo2007_res.pdf
2008,28,1,http://www.apmo-official.org/static/results/apmo2008_res.pdf
2009,28,1,http://www.apmo-official.org/static/results/apmo2009_res.pdf
2010,33,1,http://www.apmo-official.org/static/results/apmo2010_res.pdf
2011,34,1,http://www.apmo-official.org/static/results/apmo2011_res.pdf
2012,37,1,http://www.apmo-official.org/static/results/apmo2012_res.pdf
2013,34,1,http://www.apmo-official.org/static/results/apmo2013_res.pdf
2014,36,1,http://www.apmo-official.org/static/results/apmo2014_res.pdf
2015,33,2,http://www.apmo-official.org/static/results/apmo2015_res.pdf
2016,36,1,http://www.apmo-official.org/year_report/2016
2017,39,2,http://www.apmo-official.org/year_report/2017
2018,39,1,http://www.apmo-official.org/year_report/2018
2019,41,1,http://www.apmo-official.org/year_report/2019
2021,37,2,https://www.apmo-official.org/country_report/2021
2022,35,1,https://www.apmo-official.org/country_report/2022
2023,38,2,https://www.apmo-official.org/year_report/2023
2024,39,1,https://www.apmo-official.org/year_report/2024
