year,date,country,city,teams,people,ranking,website,story
1988,,호주,시드니,49,268,22,,
1989,,서독,브라운슈바이크,50,295,28,,
1990,,중국,베이징,54,307,32,,
1991,,스웨덴,시그투나,56,325,17,,
1992,,러시아,모스크바,56,350,18,,
1993,,터키,이스탄불,73,412,15,,
1994,,,홍콩,69,385,13,,
1995,,캐나다,토론토,73,412,7,,
1996,,인도,뭄바이,75,424,8,,
1997,,아르헨티나,마르델플라타,82,460,11,,
1998,,대만,타이페이,76,419,12,,
1999,,루마니아,부카레스트,81,453,7,,
2000,,대한민국,대전,82,461,4,,
2001,,미국,워싱턴DC,83,479,4,http://imo.wolfram.com/,
2002,,영국,글래스고,84,479,6,,
2003,,일본,도쿄,86,500,12,http://www.imo2003.com/,
2004,,그리스,아테네,85,500,12,,
2005,,멕시코,메리다,91,513,5,,
2006,,슬로베니아,류블리아나,90,498,3,http://imo2006.dmfa.si/,
2007,,베트남,하노이,94,526,3,,
2008,,스페인,마드리드,100,535,4,http://www.imo-2008.es/,
2009,,독일,브레멘,104,565,4,http://www.imo2009.de/,
2010,,카자흐스탄,아스타나,98,517,4,http://www.imo2010.kz/,
2011,,네덜란드,암스테르담,101,564,13,http://www.imo2011.nl/,
2012,,아르헨티나,마르델플라타,100,548,1,http://oma.org.ar/imo2012/,https://dimag.ibs.re.kr/home/sangil/2012/2012%eb%85%84-%ea%b5%ad%ec%a0%9c%ec%88%98%ed%95%99%ec%98%ac%eb%a6%bc%ed%94%bc%ec%95%84%eb%93%9cimo-%ec%b0%b8%ea%b0%80-%eb%b3%b4%ea%b3%a0/
2013,,콜롬비아,산타마르타,97,528,2,http://www.uan.edu.co/imo2013/en/,
2014,,남아프리카공화국,케이프타운,101,560,7,http://www.imo2014.org.za/,
2015,,태국,치앙마이,104,577,3,http://www.imo2015.org/,
2016,,홍콩,,109,602,2,http://www.imo2016.org/,http://sciencebooks.tistory.com/928
2017,,브라질,리우데자네이루,111,615,1,http://www.imo2017.org.br/,https://dimag.ibs.re.kr/home/sangil/2017/2017-imo/
2018,,루마니아,클루지나포카,107,594,7,http://imo2018.org.ro,https://dimag.ibs.re.kr/home/sangil/2018/2018-imo/
2019,,영국,바스,112,621,3,http://www.imo2019.uk/,http://www.kms.or.kr/inc/attach_download.php?r_name=3537553923_3b49e9c8_186282019.729.pdf&f_name=186%282019.7%29.pdf
2020,,러시아,상트페테르부르크,105,616,3,https://imo2020.ru,
2021,,러시아,상트페테르부르크,107,619,3,https://imo2021.ru,
2022,,노르웨이,오슬로,104,589,2,https://www.imo2022.org,
2023,,일본,치바,112,618,3,https://imo2023.jp/,https://www.dongascience.com/news.php?idx=60676
2024,,영국,바스,108,609,3,https://www.imo2024.uk,
