year,korname,school,rank,award
2021,서유완,서울과학고,30,Silver medal
2021,정유찬,휘문중,29,Silver medal
2021,이대준,서울과학고,28,Silver medal
2021,위현복,서울과학고,21,Bronze medal
2021,최윤서,Philips Exeter Academy,9,Honorable mention
2020,허은수,서울과학고,27,Silver medal
2020,이동해,서울과학고,22,Bronze medal
2020,김준수,서울과학고,19,Bronze medal
2020,김서진,서울과학고,14,Honorable mention
2019,고상연,서울과학고,15,Silver medal
2019,권민재,서울과학고,10,Silver medal
2019,김재연,서울과학고,10,Silver medal
2019,최서영,서울과학고,65,Bronze medal
2018,강지원,서울과학고,25,Silver medal
2018,김홍녕,서울과학고,1,Gold medal
2018,심유민,서울과학고,31,Bronze medal
2018,윤승재,대치중,23,Silver medal
2017,강지원,상현중,33,Bronze medal
2017,김다인,서울과학고,2,Gold medal
2017,이송운,서울과학고,7,Gold medal
2017,최규현,서울과학고,2,Gold medal
2016,백승윤,서울과학고,10,Silver medal
2016,박상준,서울과학고,71,
2016,안정현,서울과학고,19,Silver medal
2016,양서연,서울과학고,10,Silver medal
2016,이소흔,서울과학고,19,Silver medal
2016,이유성,서울과학고,14,Silver medal
